"ID","Name","City","Auth","Dec","Roll"
3041,"Tinui School","Tinui","State",6,62
3060,"Wainuioru School","Masterton Dist","State",9,49
2813,"Boulcott School","Lower Hutt","State",10,301
2827,"Clyde Quay School","Wellington","State",8,227
514,"Kimi Ora School","Wellington","State",8,34
2918,"Mt Cook School (Wellington)","Wellington","State",5,162
2982,"Roseneath School","Wellington","State",10,122
2985,"Sacred Heart School (Thorndon)","Wellington","State Integrated",9,230
286,"St Mary's College (Wellington)","Wellington","State Integrated",9,629
3037,"Te Aro School","Wellington","State",6,193
3040,"Thorndon School","Wellington","State",10,235
274,"Wellington East Girls' College","Wellington","State",8,945
272,"Wellington Girls' College","Wellington","State",10,1210
2819,"Cardinal McKeefry School (Wilton)","Wellington","State Integrated",10,107
2826,"Clifton Terrace Model School","Wellington","State",10,49
2874,"Karori Normal School","Wellington","State",10,710
2875,"Karori West Normal School","Wellington","State",8,335
2876,"Kelburn Normal School","Wellington","State",10,348
2931,"Northland School","Wellington","State",10,286
3073,"Otari School","Wellington","State",10,147
3024,"St Teresa's School (Karori)","Wellington","State Integrated",10,220
3055,"Wadestown School","Wellington","State",10,305
2816,"Brooklyn School (Wellington)","Wellington","State",10,423
2854,"Hataitai School","Wellington","State",10,281
2926,"Newtown School","Wellington","State",4,223
2980,"Ridgway School","Wellington","State",9,170
2997,"St Annes School (Newtown)","Wellington","State Integrated",4,193
3002,"St Bernard's School (Brooklyn)","Wellington","State Integrated",9,57
2904,"Holy Cross School (Miramar)","Wellington","State Integrated",5,232
2892,"Lyall Bay School","Wellington","State",7,380
4119,"Miramar Christian School","Wellington","State Integrated",7,60
2916,"Miramar North School","Wellington","State",8,258
2917,"Miramar South School","Wellington","State",2,122
2987,"Seatoun School","Wellington","State",10,393
2999,"St Anthony's School (Seatoun)","Wellington","State Integrated",8,111
3027,"Strathmore Community School","Wellington","State",2,51
1143,"TKKM o Nga Mokopuna","Wellington","State",8,121
3077,"Worser Bay School","Wellington","State",10,141
2808,"Berhampore School","Wellington","State",4,175
2861,"Houghton Valley School","Wellington","State",9,183
2865,"Island Bay School","Wellington","State",10,395
2942,"Owhiro Bay School","Wellington","State",9,97
2994,"South Wellington Intermediate","Wellington","State",7,280
3006,"St Francis De Sales School (Is.Bay)","Wellington","State Integrated",9,246
2821,"Cashmere Avenue School","Wellington","State",10,309
2823,"Chartwell School","Wellington","State",10,115
2879,"Khandallah School","Wellington","State",10,349
2927,"Ngaio School","Wellington","State",10,437
3000,"St Benedict's School (Khandallah)","Wellington","State Integrated",10,259
2806,"Bellevue School (Newlands)","Wellington","State",8,262
2824,"Churton Park School","Wellington","State",10,457
2866,"Johnsonville School","Wellington","State",9,346
2924,"Newlands Intermediate","Wellington","State",9,337
2947,"Paparangi School","Wellington","State",9,149
2979,"Rewa Rewa School","Wellington","State",8,99
3005,"St Brigids School (Johnsonville)","Wellington","State Integrated",9,307
2867,"West Park School","Wellington","State",9,316
273,"Wellington High School & Com Ed Centre","Wellington","State",9,1027
1630,"Central Regional Health School","Wellington","State",1,15
1174,"Moriah College","Wellington","State Integrated",9,42
278,"Queen Margaret College","Wellington","Private",10,664
280,"Samuel Marsden Collegiate School","Wellington","Private",10,674
479,"Athena Montessori College","Wellington","Private",10,79
2837,"Evans Bay Intermediate","Wellington","State",7,442
2880,"Kilbirnie School","Wellington","State",10,217
277,"Rongotai College","Wellington","State",6,681
284,"St Catherines College (Kilbirnie)","Wellington","State Integrated",6,294
276,"St Patrick's College (Kilbirnie)","Wellington","State Integrated",8,660
3019,"St Patrick's School (Kilbirnie)","Wellington","State Integrated",5,102
4134,"St Mark's Church School (Mt Victoria)","Wellington","Private",10,365
569,"St Mark's Church School (Sec Dept) (Mt V","Wellington","Private",NA,23
275,"Wellington College","Wellington","State",10,1496
2915,"Miramar Central School","Wellington","State",6,326
281,"Scots College","Wellington","Private",10,706
269,"Onslow College","Wellington","State",10,1175
2972,"Raroa Normal Intermediate","Wellington","State",10,518
268,"Newlands College","Wellington","State",9,949
2925,"Newlands School","Wellington","State",8,237
2894,"Makara Model School","Wellington","State",7,29
3203,"Mapua School","Nelson","State",9,203
299,"Murchison Area School","Nelson","State",4,156
3181,"Auckland Point School","Nelson","State",5,92
3187,"Clifton Terrace School","Nelson","State",8,214
3193,"Hampden Street School","Nelson","State",7,373
3202,"Maitai School","Nelson","State",6,35
3209,"Nelson Central School","Nelson","State",7,400
3210,"Nelson Intermediate","Nelson","State",6,374
3221,"St Joseph's School (Nelson)","Nelson","State Integrated",8,325
3231,"Victory Primary School","Nelson","State",3,287
3182,"Birchwood School","Nelson","State",7,260
3184,"Broadgreen Intermediate","Nelson","State",6,522
3189,"Enner Glynn School","Nelson","State",7,316
293,"Nayland College","Nelson","State",6,1493
3208,"Nayland Primary School","Nelson","State",7,427
3224,"Tahunanui School","Nelson","State",5,312
6975,"Garin College","Nelson","State Integrated",8,400
3194,"Henley School (Nelson)","Richmond","State",9,588
3216,"Richmond School (Nelson)","Richmond","State",6,365
296,"Waimea College","Richmond","State",8,1372
3233,"Waimea Intermediate","Richmond","State",8,604
3183,"Brightwater School","Brightwater","State",9,254
3234,"Wakefield School","Nelson","State",7,287
1628,"Independent Middle School","Nelson","Private",7,35
295,"Nelson College For Girls","Nelson","State",7,1011
4121,"Nelson College For Girls Prep School","Nelson","Private",10,92
1148,"Nelson Christian Academy","Nelson","State Integrated",7,141
3223,"Stoke School","Nelson","State",4,146
294,"Nelson College","Nelson","State",7,953
4122,"Nelson College (Prep.Dept.)","Nelson","Private",9,100
525,"Salisbury School (Nelson)","Richmond","State",4,79
1627,"St Paul's School (Richmond)","Richmond","State Integrated",9,219
3204,"Maruia School","Nelson","State",9,14
3229,"Upper Moutere School","Nelson","State",7,120
290,"Collingwood Area School","Collingwood","State",6,126
3195,"Hira School","Nelson","State",10,91
3199,"Lake Rotoiti School","Tasman District","State",10,29
3180,"Appleby School","Tasman District","State",10,105
3196,"Hope School","Nelson","State",10,88
3214,"Ranzau School","Nelson","State",9,175
3188,"Dovedale School","Tasman District","State",4,44
297,"Tapawera Area School","Tasman District","State",4,226
2855,"Havelock School","Marlborough","State",7,86
